met,split,value,src,trg,model
scc,7,0.03515258621669316,CCLE,GDSCv1,graphdrp
scc,8,0.011299257278446636,CCLE,GDSCv1,graphdrp
scc,9,0.013686895754671247,CCLE,GDSCv1,graphdrp
r2,0,-0.19366380699794905,CCLE,GDSCv1,graphdrp
r2,1,-0.14155085966325998,CCLE,GDSCv1,graphdrp
r2,2,-0.16685089156749422,CCLE,GDSCv1,graphdrp
r2,3,-0.24038559699976303,CCLE,GDSCv1,graphdrp
r2,4,-0.22896238181847806,CCLE,GDSCv1,graphdrp
r2,5,-0.20163880119074973,CCLE,GDSCv1,graphdrp
r2,6,-0.23389476003728094,CCLE,GDSCv1,graphdrp
r2,7,-0.1896602192093615,CCLE,GDSCv1,graphdrp
r2,8,-0.2166617446254706,CCLE,GDSCv1,graphdrp
r2,9,-0.22049969800622904,CCLE,GDSCv1,graphdrp
mse,0,0.031538128594344225,CCLE,GDSCv2,graphdrp
mse,1,0.027185311812742054,CCLE,GDSCv2,graphdrp
mse,2,0.030377409384355052,CCLE,GDSCv2,graphdrp
mse,3,0.0316749475295698,CCLE,GDSCv2,graphdrp
mse,4,0.03118016616621891,CCLE,GDSCv2,graphdrp
mse,5,0.029891723118000067,CCLE,GDSCv2,graphdrp
mse,6,0.030671516537367847,CCLE,GDSCv2,graphdrp
mse,7,0.030288856458863964,CCLE,GDSCv2,graphdrp
mse,8,0.030841196541990856,CCLE,GDSCv2,graphdrp
mse,9,0.030375893993056766,CCLE,GDSCv2,graphdrp
rmse,0,0.17758977615376462,CCLE,GDSCv2,graphdrp
rmse,1,0.16487968890297572,CCLE,GDSCv2,graphdrp
rmse,2,0.17429116266855027,CCLE,GDSCv2,graphdrp
rmse,3,0.1779745698957292,CCLE,GDSCv2,graphdrp
rmse,4,0.17657906491489558,CCLE,GDSCv2,graphdrp
rmse,5,0.17289222977913168,CCLE,GDSCv2,graphdrp
rmse,6,0.17513285396340644,CCLE,GDSCv2,graphdrp
rmse,7,0.17403693992616615,CCLE,GDSCv2,graphdrp
rmse,8,0.17561661806899384,CCLE,GDSCv2,graphdrp
rmse,9,0.1742868153161815,CCLE,GDSCv2,graphdrp
pcc,0,0.06271297913118488,CCLE,GDSCv2,graphdrp
pcc,1,0.19289704857905787,CCLE,GDSCv2,graphdrp
pcc,2,0.08155311214667071,CCLE,GDSCv2,graphdrp
pcc,3,0.07648051421166788,CCLE,GDSCv2,graphdrp
pcc,4,0.08337557023578489,CCLE,GDSCv2,graphdrp
