met,split,value,src,trg,model
scc,3,0.04618190582445034,CCLE,GDSCv2,tcnns
scc,4,0.13981970593751536,CCLE,GDSCv2,tcnns
scc,5,-0.029342998207774536,CCLE,GDSCv2,tcnns
scc,6,0.11387988028445768,CCLE,GDSCv2,tcnns
scc,7,0.07051198980499869,CCLE,GDSCv2,tcnns
scc,8,0.09110948630367452,CCLE,GDSCv2,tcnns
scc,9,0.04671633792909333,CCLE,GDSCv2,tcnns
r2,0,-0.08186394968762101,CCLE,GDSCv2,tcnns
r2,1,-0.5419082560868458,CCLE,GDSCv2,tcnns
r2,2,-0.7854684328038493,CCLE,GDSCv2,tcnns
r2,3,-0.5373689321719679,CCLE,GDSCv2,tcnns
r2,4,-0.010489744131242595,CCLE,GDSCv2,tcnns
r2,5,-0.42592625999128186,CCLE,GDSCv2,tcnns
r2,6,-0.07638783578602948,CCLE,GDSCv2,tcnns
r2,7,-0.12075322892307949,CCLE,GDSCv2,tcnns
r2,8,-0.09378785488505059,CCLE,GDSCv2,tcnns
r2,9,-0.14560452108214328,CCLE,GDSCv2,tcnns
mse,0,0.03761328333130944,CCLE,gCSI,tcnns
mse,1,0.05449393209066991,CCLE,gCSI,tcnns
mse,2,0.08152870343857518,CCLE,gCSI,tcnns
mse,3,0.06270851624367536,CCLE,gCSI,tcnns
mse,4,0.03940227592997369,CCLE,gCSI,tcnns
mse,5,0.03378600806314511,CCLE,gCSI,tcnns
mse,6,0.0434335384314916,CCLE,gCSI,tcnns
mse,7,0.040268093149160085,CCLE,gCSI,tcnns
mse,8,0.03843776668083384,CCLE,gCSI,tcnns
mse,9,0.0388114567071443,CCLE,gCSI,tcnns
rmse,0,0.193941443047404,CCLE,gCSI,tcnns
rmse,1,0.23343935420290624,CCLE,gCSI,tcnns
rmse,2,0.28553231592689327,CCLE,gCSI,tcnns
rmse,3,0.250416685234182,CCLE,gCSI,tcnns
rmse,4,0.19850006531478445,CCLE,gCSI,tcnns
rmse,5,0.18380970611789008,CCLE,gCSI,tcnns
rmse,6,0.2084071458263646,CCLE,gCSI,tcnns
rmse,7,0.20066911359040804,CCLE,gCSI,tcnns
rmse,8,0.19605551938375476,CCLE,gCSI,tcnns
rmse,9,0.19700623519864618,CCLE,gCSI,tcnns
pcc,0,0.35806117906685686,CCLE,gCSI,tcnns
pcc,1,0.17803125750112533,CCLE,gCSI,tcnns
pcc,2,0.03154773099688068,CCLE,gCSI,tcnns
pcc,3,0.11024393550931615,CCLE,gCSI,tcnns
pcc,4,0.36370975606685796,CCLE,gCSI,tcnns
pcc,5,0.36538533793607286,CCLE,gCSI,tcnns
pcc,6,0.30658209154368565,CCLE,gCSI,tcnns
pcc,7,0.31023023106932923,CCLE,gCSI,tcnns
pcc,8,0.33908313550233043,CCLE,gCSI,tcnns
pcc,9,0.29613595255072467,CCLE,gCSI,tcnns
scc,0,0.3690708321023961,CCLE,gCSI,tcnns
scc,1,0.23288760007482964,CCLE,gCSI,tcnns
scc,2,0.2609951706316043,CCLE,gCSI,tcnns
scc,3,0.2745196112974764,CCLE,gCSI,tcnns
scc,4,0.3794358213480659,CCLE,gCSI,tcnns
scc,5,0.3825277987155097,CCLE,gCSI,tcnns
scc,6,0.3107787745038841,CCLE,gCSI,tcnns
scc,7,0.33832578470727115,CCLE,gCSI,tcnns
scc,8,0.3381565765589377,CCLE,gCSI,tcnns
scc,9,0.34743419638767375,CCLE,gCSI,tcnns
r2,0,-0.051613696163478995,CCLE,gCSI,tcnns
r2,1,-0.5235725325964511,CCLE,gCSI,tcnns
r2,2,-1.2794261381347858,CCLE,gCSI,tcnns
r2,3,-0.7532405763962122,CCLE,gCSI,tcnns
r2,4,-0.10163137482553797,CCLE,gCSI,tcnns
r2,5,0.05539145559467895,CCLE,gCSI,tcnns
r2,6,-0.21433971836697086,CCLE,gCSI,tcnns
r2,7,-0.12583838802485325,CCLE,gCSI,tcnns
r2,8,-0.07466507338522943,CCLE,gCSI,tcnns
r2,9,-0.0851129129510102,CCLE,gCSI,tcnns
mse,0,0.0215901248366425,CTRPv2,CCLE,tcnns
mse,1,0.01576125101586301,CTRPv2,CCLE,tcnns
mse,2,0.01662309602584305,CTRPv2,CCLE,tcnns
mse,3,0.01655183098329657,CTRPv2,CCLE,tcnns
mse,4,0.014886890656581572,CTRPv2,CCLE,tcnns
mse,5,0.018757491000105056,CTRPv2,CCLE,tcnns
mse,6,0.017263888809748922,CTRPv2,CCLE,tcnns
mse,7,0.020805433841790105,CTRPv2,CCLE,tcnns
mse,8,0.017294489288790838,CTRPv2,CCLE,tcnns
mse,9,0.016077336460762683,CTRPv2,CCLE,tcnns
rmse,0,0.14693578473824034,CTRPv2,CCLE,tcnns
rmse,1,0.12554382109790593,CTRPv2,CCLE,tcnns
rmse,2,0.12893058607577587,CTRPv2,CCLE,tcnns
rmse,3,0.1286539194245421,CTRPv2,CCLE,tcnns
rmse,4,0.12201184637805286,CTRPv2,CCLE,tcnns
rmse,5,0.13695798990969843,CTRPv2,CCLE,tcnns
rmse,6,0.13139211852218885,CTRPv2,CCLE,tcnns
rmse,7,0.14424088824528952,CTRPv2,CCLE,tcnns
rmse,8,0.13150851413041986,CTRPv2,CCLE,tcnns
rmse,9,0.12679643709806157,CTRPv2,CCLE,tcnns
pcc,0,0.66771501827479,CTRPv2,CCLE,tcnns
pcc,1,0.7611442982384253,CTRPv2,CCLE,tcnns
pcc,2,0.7341960805789606,CTRPv2,CCLE,tcnns
pcc,3,0.7274606970890107,CTRPv2,CCLE,tcnns
pcc,4,0.7550615262310167,CTRPv2,CCLE,tcnns
pcc,5,0.7053461175650975,CTRPv2,CCLE,tcnns
pcc,6,0.7316010789187805,CTRPv2,CCLE,tcnns
pcc,7,0.7251502875300242,CTRPv2,CCLE,tcnns
pcc,8,0.7011570740510742,CTRPv2,CCLE,tcnns
pcc,9,0.7561240557229818,CTRPv2,CCLE,tcnns
scc,0,0.5347515911949964,CTRPv2,CCLE,tcnns
scc,1,0.6345201935700081,CTRPv2,CCLE,tcnns
scc,2,0.5860716948411929,CTRPv2,CCLE,tcnns
scc,3,0.5774337984402016,CTRPv2,CCLE,tcnns
scc,4,0.619554288588311,CTRPv2,CCLE,tcnns
scc,5,0.5783804815612583,CTRPv2,CCLE,tcnns
scc,6,0.6009367103486188,CTRPv2,CCLE,tcnns
scc,7,0.598830725247086,CTRPv2,CCLE,tcnns
scc,8,0.5587695726868025,CTRPv2,CCLE,tcnns
scc,9,0.6167684026689287,CTRPv2,CCLE,tcnns
r2,0,0.16886289060467863,CTRPv2,CCLE,tcnns
r2,1,0.3932522063260284,CTRPv2,CCLE,tcnns
r2,2,0.3600744745731357,CTRPv2,CCLE,tcnns
r2,3,0.36281790574415385,CTRPv2,CCLE,tcnns
r2,4,0.4269117310893896,CTRPv2,CCLE,tcnns
r2,5,0.27790844345296106,CTRPv2,CCLE,tcnns
r2,6,0.3354064068261161,CTRPv2,CCLE,tcnns
r2,7,0.19907048829875396,CTRPv2,CCLE,tcnns
r2,8,0.3342284055922443,CTRPv2,CCLE,tcnns
r2,9,0.38108412740181674,CTRPv2,CCLE,tcnns
mse,0,0.008281612998325541,CTRPv2,CTRPv2,tcnns
mse,1,0.006066501576377019,CTRPv2,CTRPv2,tcnns
mse,2,0.006195800596155859,CTRPv2,CTRPv2,tcnns
mse,3,0.00874228326926431,CTRPv2,CTRPv2,tcnns
mse,4,0.005844794772386368,CTRPv2,CTRPv2,tcnns
mse,5,0.00800281068371298,CTRPv2,CTRPv2,tcnns
mse,6,0.008892429956394336,CTRPv2,CTRPv2,tcnns
mse,7,0.00863344764948022,CTRPv2,CTRPv2,tcnns
mse,8,0.008551471494104514,CTRPv2,CTRPv2,tcnns
mse,9,0.006189726565966651,CTRPv2,CTRPv2,tcnns
rmse,0,0.09100336806033907,CTRPv2,CTRPv2,tcnns
rmse,1,0.07788774984795119,CTRPv2,CTRPv2,tcnns
rmse,2,0.07871340798209578,CTRPv2,CTRPv2,tcnns
rmse,3,0.09350017791033507,CTRPv2,CTRPv2,tcnns
rmse,4,0.07645125749382,CTRPv2,CTRPv2,tcnns
rmse,5,0.08945842991978442,CTRPv2,CTRPv2,tcnns
rmse,6,0.09429968163463934,CTRPv2,CTRPv2,tcnns
rmse,7,0.09291634759007815,CTRPv2,CTRPv2,tcnns
rmse,8,0.09247416663103547,CTRPv2,CTRPv2,tcnns
rmse,9,0.0786748153221007,CTRPv2,CTRPv2,tcnns
pcc,0,0.8602866607326556,CTRPv2,CTRPv2,tcnns
pcc,1,0.8956267396333348,CTRPv2,CTRPv2,tcnns
pcc,2,0.8973608079208978,CTRPv2,CTRPv2,tcnns
pcc,3,0.8045366638653639,CTRPv2,CTRPv2,tcnns
pcc,4,0.8898905840924625,CTRPv2,CTRPv2,tcnns
pcc,5,0.8523064472560946,CTRPv2,CTRPv2,tcnns
pcc,6,0.8168356878780036,CTRPv2,CTRPv2,tcnns
pcc,7,0.853888956245783,CTRPv2,CTRPv2,tcnns
pcc,8,0.8161235089776595,CTRPv2,CTRPv2,tcnns
pcc,9,0.8917847948871946,CTRPv2,CTRPv2,tcnns
scc,0,0.822655851745524,CTRPv2,CTRPv2,tcnns
scc,1,0.8469694129166474,CTRPv2,CTRPv2,tcnns
scc,2,0.8482160559433951,CTRPv2,CTRPv2,tcnns
scc,3,0.7368720848949802,CTRPv2,CTRPv2,tcnns
scc,4,0.8343940085655402,CTRPv2,CTRPv2,tcnns
scc,5,0.8173679647984613,CTRPv2,CTRPv2,tcnns
scc,6,0.7613163939726654,CTRPv2,CTRPv2,tcnns
scc,7,0.8172163813197572,CTRPv2,CTRPv2,tcnns
scc,8,0.7506830302966209,CTRPv2,CTRPv2,tcnns
scc,9,0.8422939993883806,CTRPv2,CTRPv2,tcnns
r2,0,0.5988749422274904,CTRPv2,CTRPv2,tcnns
r2,1,0.712943754194423,CTRPv2,CTRPv2,tcnns
r2,2,0.704425933594843,CTRPv2,CTRPv2,tcnns
r2,3,0.5859961604761064,CTRPv2,CTRPv2,tcnns
r2,4,0.7237237728088006,CTRPv2,CTRPv2,tcnns
r2,5,0.6177801520358872,CTRPv2,CTRPv2,tcnns
r2,6,0.5734261889372161,CTRPv2,CTRPv2,tcnns
r2,7,0.5836777983769476,CTRPv2,CTRPv2,tcnns
r2,8,0.5838042463390862,CTRPv2,CTRPv2,tcnns
r2,9,0.7009865076133261,CTRPv2,CTRPv2,tcnns
mse,0,0.023822447428812378,CTRPv2,GDSCv1,tcnns
mse,1,0.02233163454891241,CTRPv2,GDSCv1,tcnns
mse,2,0.02284947809142724,CTRPv2,GDSCv1,tcnns
mse,3,0.022277322548098177,CTRPv2,GDSCv1,tcnns
mse,4,0.022266132389670817,CTRPv2,GDSCv1,tcnns
